adWord,appShow,approve,businessZones,city,companyFullName,companyId,companyLabelList,companyLogo,companyShortName,companySize,createTime,deliver,district,education,explain,financeStage,firstType,formatCreateTime,gradeDescription,hitags,imState,industryField,industryLables,isSchoolJob,jobNature,lastLogin,latitude,linestaion,longitude,pcShow,plus,positionAdvantage,positionId,positionLables,positionName,promotionScoreExplain,publisherId,resumeProcessDay,resumeProcessRate,salary,score,secondType,skillLables,stationname,subwayline,thirdType,workYear
0,0,1,,深圳,深圳市乐易网络股份有限公司,33627,"技术大牛,两次年度旅游,福利倍儿好,年终奖丰厚",i/image/M00/57/05/CgqKkVfOIv6AQwyPAAEg94dso0Q147.png,乐易网络,150-500人,2018-12-26 15:49:41,0,南山区,硕士,,A轮,开发|测试|运维类,15:49发布,,,today,"移动互联网,游戏","大数据,游戏,MySQL,SQLServer",0,全职,1545808840000,22.533413,2号线/蛇口线_科苑;1号线/罗宝线_高新园;1号线/罗宝线_深大,113.94604,0,,"精品手游,高配团队,年终奖,带薪旅行",5195131,"大数据,游戏,MySQL,SQLServer",数据分析,,569371,0,100,10k-20k,0,数据开发,"MySQL,SQLServer",深大,2号线/蛇口线,数据分析,1-3年
0,0,1,,深圳,五八生活圈（深圳）科技有限公司,434092,,i/image2/M01/7A/DC/CgoB5ltxI9SACWurAABPuq3ElYU994.jpg,五八生活圈（深圳）科技有限公司,50-150人,2018-12-26 11:11:26,0,龙岗区,大专,,上市公司,运营|编辑|客服类,11:11发布,,,today,"移动互联网,电子商务",,0,全职,1545788211000,22.614636,5号线/环中线_上水径;5号线/环中线_下水径;5号线/环中线_长龙,114.11043,0,,"五险一金,旅游,节假日福利,年终奖金",5173894,,数据分析,,11454232,0,0,15k-25k,0,运营,,上水径,5号线/环中线,数据运营,3-5年
0,0,1,,深圳,上海懒人易健科技有限公司,214114,,i/image3/M00/54/04/Cgq2xlsPjQWAIPR1AAAd0T_4rzQ376.png,懒人科技,50-150人,2018-12-26 15:13:59,0,南山区,本科,,天使轮,产品|需求|项目类,15:13发布,,,sevenDays,移动互联网,"医疗健康,体育,BI,数据运营,SQL",0,全职,1545299923000,0.0,,0.0,0,,"独立自主,海量数据,节奏快,创新驱动",5173528,"医疗健康,体育,BI,数据运营,SQL",数据分析师,,11698904,1,35,15k-27k,0,数据分析,"BI,数据运营,SQL",,,BI,3-5年
0,0,1,,深圳,深圳数位传媒科技有限公司,135283,"大数据弄潮儿,大牛云集,高并发,14薪起",i/image/M00/BE/5B/Cgp3O1jMx5WAK6qqAAAhwXv4yuM019.jpg,数位科技,150-500人,2018-12-26 11:48:18,0,南山区,本科,,B轮,开发|测试|运维类,11:48发布,,,today,"移动互联网,数据服务","大数据,移动互联网,数据处理,数据挖掘",0,全职,1545803639000,22.523714,2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海,113.940802,0,,"14薪起,股票期权,技术大牛,氛围融洽",4864988,"大数据,移动互联网,数据处理,数据挖掘",数据分析师,,4549189,1,100,20k-30k,0,数据开发,"数据处理,数据挖掘",科苑,2号线/蛇口线,数据分析,5-10年
0,0,1,"深圳湾,后海,科技园",深圳,武汉市追忆那年网络科技有限公司,115706,"股票期权,交通补助,扁平管理,领导好",i/image/M00/67/5E/CgpEMlmfq-CAE4qkAAAcCLUwk3k272.png,忆年,50-150人,2018-12-26 09:36:16,0,南山区,本科,,A轮,产品|需求|项目类,09:36发布,,,today,"移动互联网,社交网络",社交,0,全职,1545803516000,22.524429,2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海,113.940711,0,,"SNS,薪资优渥,社交大咖",5430691,社交,数据分析师,,4049444,1,71,15k-30k,0,数据分析,,科苑,2号线/蛇口线,数据分析,3-5年
0,0,1,"深圳湾,大冲,科技园",深圳,万汇互联（深圳）科技有限公司,115637,"年终分红,绩效奖金,股票期权,带薪年假",i/image2/M01/5A/73/CgoB5lsozOqAZ2XmAAATE0isTPU169.jpg,万汇互联,150-500人,2018-12-26 14:46:35,0,南山区,本科,,天使轮,运营|编辑|客服类,14:46发布,,,today,"社交网络,金融",,0,全职,1545805134000,113.953808,,22.533503,0,,"弹性工作,绩效奖金,节日福利,团建活动",5237530,"策略运营,产品运营",数据分析师,,4043963,2,63,7k-13k,0,运营,"策略运营,产品运营",,,数据运营,1-3年
0,0,1,"南新路口,科技园,南头",深圳,深圳市和讯华谷信息技术有限公司,917,"五险一金,文体活动,团建旅游,美味晚餐",i/image/M00/37/20/CgqKkVdfms6Ac6dNAABY3gBvuqI944.jpg,极光,500-2000人,2018-12-26 13:39:14,0,南山区,本科,,上市公司,产品|需求|项目类,13:39发布,,,today,"移动互联网,数据服务",,0,全职,1545809506000,22.53620103,1号线/罗宝线_桃园;1号线/罗宝线_大新;11号线/机场线_南山,113.91877291,0,,五险一金、年度14薪、工作餐、下午茶等,917502,,数据分析师,,2153176,1,89,8k-15k,0,数据分析,,大新,1号线/罗宝线,数据分析,1-3年
0,0,1,,深圳,深圳市大头兄弟文化传播有限公司,24510,"年底双薪,年终奖,短视频应用,千万级用户",i/image2/M01/7C/C6/CgotOVt04iuANKVRAAC4LQhjoG8343.jpg,逗拍,50-150人,2018-12-26 14:40:01,0,宝安区,大专,,A轮,开发|测试|运维类,14:40发布,,,today,"移动互联网,文化娱乐",,0,全职,1545787630000,22.571452,1号线/罗宝线_坪洲;1号线/罗宝线_西乡;11号线/机场线_碧海湾,113.861484,0,,"年终奖,旅游,下午茶包餐,更多福利",5148757,"数据架构,Spark,Hadoop,数据处理",数据分析工程师,,354711,1,100,15k-30k,0,数据开发,"数据架构,Spark,Hadoop,数据处理",坪洲,1号线/罗宝线,数据分析,3-5年
0,0,1,"科技园,科技园,大冲,大冲",深圳,深圳白骑士大数据有限公司,128065,"专项奖金,大数据,反欺诈,带薪年假",i/image/M00/3D/89/Cgp3O1dyQFiAS337AAAJ8SnzRcM883.png,深圳白骑士大数据有限公司,50-150人,2018-12-24 09:23:14,0,南山区,本科,,A轮,产品|需求|项目类,2天前发布,,,today,"企业服务,金融",,0,全职,1545786535000,22.545687,1号线/罗宝线_高新园;1号线/罗宝线_深大,113.945856,0,,"平台大,创新型,有挑战",2428796,,数据分析师,,4845927,1,28,15k-30k,0,数据分析,,深大,1号线/罗宝线,数据分析,3-5年
0,0,1,"大冲,科技园",深圳,海南新浪爱问普惠科技有限公司,175085,"午餐补助,通讯津贴,带薪年假,交通补助",i/image3/M00/19/E7/Cgq2xlp5ZHWACZ9qAAA0HOXbMCg842.png,海南新浪爱问普惠科技有限公司,150-500人,2018-12-24 15:05:58,0,南山区,本科,,未融资,产品|需求|项目类,2天前发布,,,today,金融,大数据,0,全职,1545789811000,22.535129,2号线/蛇口线_科苑;1号线/罗宝线_高新园;1号线/罗宝线_深大,113.952487,0,,"年终奖,餐补,员工旅游,年度体检",4108846,大数据,数据分析师,,11796966,3,100,15k-20k,0,数据分析,,深大,2号线/蛇口线,数据分析,3-5年
