,content
0,"{'companyId': 33627, 'positionName': '数据分析', 'workYear': '1-3年', 'education': '硕士', 'jobNature': '全职', 'financeStage': 'A轮', 'companySize': '150-500人', 'companyLogo': 'i/image/M00/57/05/CgqKkVfOIv6AQwyPAAEg94dso0Q147.png', 'industryField': '移动互联网,游戏', 'city': '深圳', 'salary': '10k-20k', 'companyShortName': '乐易网络', 'positionId': 5195131, 'positionAdvantage': '精品手游,高配团队,年终奖,带薪旅行', 'createTime': '2018-12-26 15:49:41', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['大数据', '游戏', 'MySQL', 'SQLServer'], 'industryLables': ['大数据', '游戏', 'MySQL', 'SQLServer'], 'publisherId': 569371, 'companyLabelList': ['技术大牛', '两次年度旅游', '福利倍儿好', '年终奖丰厚'], 'businessZones': None, 'longitude': '113.94604', 'latitude': '22.533413', 'formatCreateTime': '15:49发布', 'companyFullName': '深圳市乐易网络股份有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545808840000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '深大', 'linestaion': '2号线/蛇口线_科苑;1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': ['MySQL', 'SQLServer']}"
1,"{'companyId': 434092, 'positionName': '数据分析', 'workYear': '3-5年', 'education': '大专', 'jobNature': '全职', 'financeStage': '上市公司', 'companySize': '50-150人', 'companyLogo': 'i/image2/M01/7A/DC/CgoB5ltxI9SACWurAABPuq3ElYU994.jpg', 'industryField': '移动互联网,电子商务', 'city': '深圳', 'salary': '15k-25k', 'companyShortName': '五八生活圈（深圳）科技有限公司', 'positionId': 5173894, 'positionAdvantage': '五险一金,旅游,节假日福利,年终奖金', 'createTime': '2018-12-26 11:11:26', 'district': '龙岗区', 'score': 0, 'approve': 1, 'positionLables': [], 'industryLables': [], 'publisherId': 11454232, 'companyLabelList': [], 'businessZones': None, 'longitude': '114.11043', 'latitude': '22.614636', 'formatCreateTime': '11:11发布', 'companyFullName': '五八生活圈（深圳）科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545788211000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '运营|编辑|客服类', 'secondType': '运营', 'isSchoolJob': 0, 'subwayline': '5号线/环中线', 'stationname': '上水径', 'linestaion': '5号线/环中线_上水径;5号线/环中线_下水径;5号线/环中线_长龙', 'thirdType': '数据运营', 'skillLables': []}"
2,"{'companyId': 214114, 'positionName': '数据分析师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': '天使轮', 'companySize': '50-150人', 'companyLogo': 'i/image3/M00/54/04/Cgq2xlsPjQWAIPR1AAAd0T_4rzQ376.png', 'industryField': '移动互联网', 'city': '深圳', 'salary': '15k-27k', 'companyShortName': '懒人科技', 'positionId': 5173528, 'positionAdvantage': '独立自主,海量数据,节奏快,创新驱动', 'createTime': '2018-12-26 15:13:59', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['医疗健康', '体育', 'BI', '数据运营', 'SQL'], 'industryLables': ['医疗健康', '体育', 'BI', '数据运营', 'SQL'], 'publisherId': 11698904, 'companyLabelList': [], 'businessZones': None, 'longitude': '0.0', 'latitude': '0.0', 'formatCreateTime': '15:13发布', 'companyFullName': '上海懒人易健科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 35, 'resumeProcessDay': 1, 'imState': 'sevenDays', 'lastLogin': 1545299923000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': None, 'stationname': None, 'linestaion': None, 'thirdType': 'BI', 'skillLables': ['BI', '数据运营', 'SQL']}"
3,"{'companyId': 135283, 'positionName': '数据分析师', 'workYear': '5-10年', 'education': '本科', 'jobNature': '全职', 'financeStage': 'B轮', 'companySize': '150-500人', 'companyLogo': 'i/image/M00/BE/5B/Cgp3O1jMx5WAK6qqAAAhwXv4yuM019.jpg', 'industryField': '移动互联网,数据服务', 'city': '深圳', 'salary': '20k-30k', 'companyShortName': '数位科技', 'positionId': 4864988, 'positionAdvantage': '14薪起,股票期权,技术大牛,氛围融洽', 'createTime': '2018-12-26 11:48:18', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['大数据', '移动互联网', '数据处理', '数据挖掘'], 'industryLables': ['大数据', '移动互联网', '数据处理', '数据挖掘'], 'publisherId': 4549189, 'companyLabelList': ['大数据弄潮儿', '大牛云集', '高并发', '14薪起'], 'businessZones': None, 'longitude': '113.940802', 'latitude': '22.523714', 'formatCreateTime': '11:48发布', 'companyFullName': '深圳数位传媒科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545803639000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '科苑', 'linestaion': '2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海', 'thirdType': '数据分析', 'skillLables': ['数据处理', '数据挖掘']}"
4,"{'companyId': 115706, 'positionName': '数据分析师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': 'A轮', 'companySize': '50-150人', 'companyLogo': 'i/image/M00/67/5E/CgpEMlmfq-CAE4qkAAAcCLUwk3k272.png', 'industryField': '移动互联网,社交网络', 'city': '深圳', 'salary': '15k-30k', 'companyShortName': '忆年', 'positionId': 5430691, 'positionAdvantage': 'SNS,薪资优渥,社交大咖', 'createTime': '2018-12-26 09:36:16', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['社交'], 'industryLables': ['社交'], 'publisherId': 4049444, 'companyLabelList': ['股票期权', '交通补助', '扁平管理', '领导好'], 'businessZones': ['深圳湾', '后海', '科技园'], 'longitude': '113.940711', 'latitude': '22.524429', 'formatCreateTime': '09:36发布', 'companyFullName': '武汉市追忆那年网络科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 71, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545803516000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '科苑', 'linestaion': '2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海', 'thirdType': '数据分析', 'skillLables': []}"
5,"{'companyId': 115637, 'positionName': '数据分析师', 'workYear': '1-3年', 'education': '本科', 'jobNature': '全职', 'financeStage': '天使轮', 'companySize': '150-500人', 'companyLogo': 'i/image2/M01/5A/73/CgoB5lsozOqAZ2XmAAATE0isTPU169.jpg', 'industryField': '社交网络,金融', 'city': '深圳', 'salary': '7k-13k', 'companyShortName': '万汇互联', 'positionId': 5237530, 'positionAdvantage': '弹性工作,绩效奖金,节日福利,团建活动', 'createTime': '2018-12-26 14:46:35', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['策略运营', '产品运营'], 'industryLables': [], 'publisherId': 4043963, 'companyLabelList': ['年终分红', '绩效奖金', '股票期权', '带薪年假'], 'businessZones': ['深圳湾', '大冲', '科技园'], 'longitude': '22.533503', 'latitude': '113.953808', 'formatCreateTime': '14:46发布', 'companyFullName': '万汇互联（深圳）科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 63, 'resumeProcessDay': 2, 'imState': 'today', 'lastLogin': 1545805134000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '运营|编辑|客服类', 'secondType': '运营', 'isSchoolJob': 0, 'subwayline': None, 'stationname': None, 'linestaion': None, 'thirdType': '数据运营', 'skillLables': ['策略运营', '产品运营']}"
6,"{'companyId': 917, 'positionName': '数据分析师', 'workYear': '1-3年', 'education': '本科', 'jobNature': '全职', 'financeStage': '上市公司', 'companySize': '500-2000人', 'companyLogo': 'i/image/M00/37/20/CgqKkVdfms6Ac6dNAABY3gBvuqI944.jpg', 'industryField': '移动互联网,数据服务', 'city': '深圳', 'salary': '8k-15k', 'companyShortName': '极光', 'positionId': 917502, 'positionAdvantage': '五险一金、年度14薪、工作餐、下午茶等', 'createTime': '2018-12-26 13:39:14', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': [], 'industryLables': [], 'publisherId': 2153176, 'companyLabelList': ['五险一金', '文体活动', '团建旅游', '美味晚餐'], 'businessZones': ['南新路口', '科技园', '南头'], 'longitude': '113.91877291', 'latitude': '22.53620103', 'formatCreateTime': '13:39发布', 'companyFullName': '深圳市和讯华谷信息技术有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 89, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545809506000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '大新', 'linestaion': '1号线/罗宝线_桃园;1号线/罗宝线_大新;11号线/机场线_南山', 'thirdType': '数据分析', 'skillLables': []}"
7,"{'companyId': 24510, 'positionName': '数据分析工程师', 'workYear': '3-5年', 'education': '大专', 'jobNature': '全职', 'financeStage': 'A轮', 'companySize': '50-150人', 'companyLogo': 'i/image2/M01/7C/C6/CgotOVt04iuANKVRAAC4LQhjoG8343.jpg', 'industryField': '移动互联网,文化娱乐', 'city': '深圳', 'salary': '15k-30k', 'companyShortName': '逗拍', 'positionId': 5148757, 'positionAdvantage': '年终奖,旅游,下午茶包餐,更多福利', 'createTime': '2018-12-26 14:40:01', 'district': '宝安区', 'score': 0, 'approve': 1, 'positionLables': ['数据架构', 'Spark', 'Hadoop', '数据处理'], 'industryLables': [], 'publisherId': 354711, 'companyLabelList': ['年底双薪', '年终奖', '短视频应用', '千万级用户'], 'businessZones': None, 'longitude': '113.861484', 'latitude': '22.571452', 'formatCreateTime': '14:40发布', 'companyFullName': '深圳市大头兄弟文化传播有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545787630000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '坪洲', 'linestaion': '1号线/罗宝线_坪洲;1号线/罗宝线_西乡;11号线/机场线_碧海湾', 'thirdType': '数据分析', 'skillLables': ['数据架构', 'Spark', 'Hadoop', '数据处理']}"
8,"{'companyId': 128065, 'positionName': '数据分析师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': 'A轮', 'companySize': '50-150人', 'companyLogo': 'i/image/M00/3D/89/Cgp3O1dyQFiAS337AAAJ8SnzRcM883.png', 'industryField': '企业服务,金融', 'city': '深圳', 'salary': '15k-30k', 'companyShortName': '深圳白骑士大数据有限公司', 'positionId': 2428796, 'positionAdvantage': '平台大,创新型,有挑战', 'createTime': '2018-12-24 09:23:14', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': [], 'industryLables': [], 'publisherId': 4845927, 'companyLabelList': ['专项奖金', '大数据', '反欺诈', '带薪年假'], 'businessZones': ['科技园', '科技园', '大冲', '大冲'], 'longitude': '113.945856', 'latitude': '22.545687', 'formatCreateTime': '2天前发布', 'companyFullName': '深圳白骑士大数据有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 28, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545786535000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '深大', 'linestaion': '1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': []}"
9,"{'companyId': 175085, 'positionName': '数据分析师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': '未融资', 'companySize': '150-500人', 'companyLogo': 'i/image3/M00/19/E7/Cgq2xlp5ZHWACZ9qAAA0HOXbMCg842.png', 'industryField': '金融', 'city': '深圳', 'salary': '15k-20k', 'companyShortName': '海南新浪爱问普惠科技有限公司', 'positionId': 4108846, 'positionAdvantage': '年终奖,餐补,员工旅游,年度体检', 'createTime': '2018-12-24 15:05:58', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['大数据'], 'industryLables': ['大数据'], 'publisherId': 11796966, 'companyLabelList': ['午餐补助', '通讯津贴', '带薪年假', '交通补助'], 'businessZones': ['大冲', '科技园'], 'longitude': '113.952487', 'latitude': '22.535129', 'formatCreateTime': '2天前发布', 'companyFullName': '海南新浪爱问普惠科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 3, 'imState': 'today', 'lastLogin': 1545789811000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '深大', 'linestaion': '2号线/蛇口线_科苑;1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': []}"
